County,District,School,Assistance Status
Orange,Garden Grove Unified,Leroy L. Doig Intermediate,General Assistance
Orange,Garden Grove Unified,Louis Lake Intermediate,General Assistance
Orange,Garden Grove Unified,Mark Twain Special Center,CSI Low Perform
Orange,Garden Grove Unified,Sarah McGarvin Intermediate,General Assistance
Orange,Garden Grove Unified,Stephen R. Fitz Intermediate,General Assistance
Los Angeles,Garvey Elementary,Duff Language Magnet Academy,General Assistance
Los Angeles,Garvey Elementary,Garvey (Richard) Intermediate,General Assistance
Los Angeles,Garvey Elementary,Temple (Roger W.) Intermediate,General Assistance
Santa Clara,Gilroy Unified,Solorsano Middle,CSI Low Perform
Santa Clara,Gilroy Unified,Dr. TJ Owens Gilroy Early College Academy,General Assistance
Santa Clara,Gilroy Unified,Gilroy Prep (a Navigator School),General Assistance
Santa Clara,Gilroy Unified,South Valley Middle,CSI Low Perform
Santa Clara,Gilroy Unified,Brownell Middle,ATSI
Los Angeles,Glendale Unified,Verdugo Academy,General Assistance
Los Angeles,Glendale Unified,Jewel City Community Day,General Assistance
Los Angeles,Glendale Unified,Theodore Roosevelt Middle,General Assistance
Los Angeles,Glendale Unified,Eleanor J. Toll Middle,General Assistance
Los Angeles,Glendale Unified,Rosemont Middle,General Assistance
Los Angeles,Glendale Unified,Woodrow Wilson Middle,General Assistance
Los Angeles,Glendale Unified,College View,General Assistance
Los Angeles,Glendora Unified,Goddard Middle,General Assistance
Los Angeles,Glendora Unified,Sandburg Middle,General Assistance
Los Angeles,Gorman Joint,Gorman Learning Center,General Assistance
Los Angeles,Hacienda la Puente Unified,Cedarlane Academy,General Assistance
Los Angeles,Hacienda la Puente Unified,Palm Canyon,General Assistance
Los Angeles,Hacienda la Puente Unified,Valley Community Day,General Assistance
Los Angeles,Hacienda la Puente Unified,Baldwin Academy,General Assistance
Los Angeles,Hacienda la Puente Unified,Fairgrove Academy,General Assistance
Los Angeles,Hacienda la Puente Unified,Lassalette,General Assistance
Los Angeles,Hacienda la Puente Unified,Los Robles Academy,General Assistance
Los Angeles,Hacienda la Puente Unified,Mesa Robles,General Assistance
Los Angeles,Hacienda la Puente Unified,Newton Middle,General Assistance
Los Angeles,Hacienda la Puente Unified,Orange Grove Middle,General Assistance
Los Angeles,Hacienda la Puente Unified,Sierra Vista Middle,General Assistance
Los Angeles,Hacienda la Puente Unified,Sparks Middle,ATSI
Los Angeles,Hacienda la Puente Unified,Temple Academy,General Assistance
Los Angeles,Hacienda la Puente Unified,"Grandview, College Preparatory Academy",General Assistance
Los Angeles,Hacienda la Puente Unified,Valinda School of Academics,General Assistance
Los Angeles,Hacienda la Puente Unified,Sunset,General Assistance
Los Angeles,Hawthorne,Hawthorne Math and Science Academy,General Assistance
Los Angeles,Hawthorne,Eucalyptus,General Assistance
Los Angeles,Hawthorne,Hawthorne Middle,General Assistance
Los Angeles,Hawthorne,Jefferson,General Assistance
Los Angeles,Hawthorne,Ramona,General Assistance
Los Angeles,Hawthorne,Washington,General Assistance
Los Angeles,Hawthorne,York,General Assistance
Los Angeles,Hawthorne,Bud Carson Middle,General Assistance
Los Angeles,Hawthorne,Zela Davis,General Assistance
Los Angeles,Hawthorne,Prairie Vista Middle,General Assistance
Los Angeles,Hawthorne,Kornblum,General Assistance
San Mateo,Hillsborough City Elementary,North Hillsborough,General Assistance
San Mateo,Hillsborough City Elementary,South Hillsborough,General Assistance
San Mateo,Hillsborough City Elementary,West Hillsborough,General Assistance
San Mateo,Hillsborough City Elementary,Crocker Middle,General Assistance
Los Angeles,Hughes-Elizabeth Lakes Union Elementary,Hughes-Elizabeth Lakes,General Assistance
Orange,Huntington Beach City Elementary,Kinetic Academy,General Assistance
Orange,Huntington Beach City Elementary,Ethel Dwyer Middle,General Assistance
