County,District,School,Assistance Status
Los Angeles,Hacienda la Puente Unified,Sunset,General Assistance
Los Angeles,Hawthorne,Hawthorne Math and Science Academy,General Assistance
Los Angeles,Hawthorne,Eucalyptus,General Assistance
Los Angeles,Hawthorne,Hawthorne Middle,General Assistance
Los Angeles,Hawthorne,Jefferson,General Assistance
Los Angeles,Hawthorne,Ramona,General Assistance
Los Angeles,Hawthorne,Washington,General Assistance
Los Angeles,Hawthorne,York,General Assistance
Los Angeles,Hawthorne,Bud Carson Middle,General Assistance
Los Angeles,Hawthorne,Zela Davis,General Assistance
Los Angeles,Hawthorne,Prairie Vista Middle,General Assistance
Los Angeles,Hawthorne,Kornblum,General Assistance
Los Angeles,Hughes-Elizabeth Lakes Union Elementary,Hughes-Elizabeth Lakes,General Assistance
Los Angeles,Inglewood Unified,Wilder's Preparatory Academy Charter,General Assistance
Los Angeles,Inglewood Unified,Wilder's Preparatory Academy Charter Middle,General Assistance
Los Angeles,Inglewood Unified,Today's Fresh Start Charter School Inglewood,General Assistance
Los Angeles,Inglewood Unified,Children of Promise Preparatory Academy,General Assistance
Los Angeles,Inglewood Unified,Grace Hopper STEM Academy,General Assistance
Los Angeles,Inglewood Unified,La Tijera K-8 Charter School Academy of Excellence,General Assistance
Los Angeles,Inglewood Unified,Frank D. Parent,General Assistance
Los Angeles,Inglewood Unified,Beulah Payne P-8 STEAM Academy,General Assistance
Los Angeles,Inglewood Unified,Woodworth-Monroe K-8 Academy,General Assistance
Los Angeles,Keppel Union Elementary,Sage Oak Charter - Keppel Community Collaborative,General Assistance
Los Angeles,Keppel Union Elementary,Keppel Academy,General Assistance
Los Angeles,Lancaster Elementary,Endeavour Middle,ATSI
Los Angeles,Lancaster Elementary,Life Source International Charter,ATSI
Los Angeles,Lancaster Elementary,Discovery,General Assistance
Los Angeles,Lancaster Elementary,iLEAD Lancaster Charter,ATSI
Los Angeles,Lancaster Elementary,Fulton and Alsbury Academy of Arts and Engineering,General Assistance
Los Angeles,Lancaster Elementary,Amargosa Creek Middle,General Assistance
Los Angeles,Lancaster Elementary,Piute Middle,General Assistance
Los Angeles,Lancaster Elementary,Lancaster Alternative and Virtual Academies,General Assistance
Los Angeles,Lancaster Elementary,New Vista Middle,General Assistance
Los Angeles,Las Virgenes Unified,Alice C. Stelle Middle,General Assistance
Los Angeles,Las Virgenes Unified,Mariposa School of Global Education,General Assistance
Los Angeles,Las Virgenes Unified,Arthur E. Wright Middle,General Assistance
Los Angeles,Las Virgenes Unified,Lindero Canyon Middle,General Assistance
Los Angeles,Lawndale Elementary,Jane Addams Middle,General Assistance
Los Angeles,Lawndale Elementary,Will Rogers Middle,General Assistance
Los Angeles,Lennox,"Lennox Mathematics, Science and Technology Academy",General Assistance
Los Angeles,Lennox,Century Community Charter,General Assistance
Los Angeles,Lennox,Lennox Virtual Academy,General Assistance
Los Angeles,Lennox,Lennox Middle,General Assistance
Los Angeles,Little Lake City Elementary,Lake Center Middle,General Assistance
Los Angeles,Little Lake City Elementary,Lakeside Middle,General Assistance
Los Angeles,Long Beach Unified,Lindsey Academy,ATSI
Los Angeles,Long Beach Unified,Intellectual Virtues Academy of Long Beach,General Assistance
Los Angeles,Long Beach Unified,Clear Passage Educational Center,General Assistance
Los Angeles,Long Beach Unified,Eunice Sato Academy of Math & Science,General Assistance
Los Angeles,Long Beach Unified,Helen Keller Middle,General Assistance
Los Angeles,Long Beach Unified,Avalon K-12,General Assistance
Los Angeles,Long Beach Unified,California Academy of Mathematics and Science,General Assistance
Los Angeles,Long Beach Unified,Cubberley K-8,General Assistance
Los Angeles,Long Beach Unified,Emerson Parkside Academy,General Assistance
Los Angeles,Long Beach Unified,Gompers K-8,General Assistance
Los Angeles,Long Beach Unified,Henry,General Assistance
Los Angeles,Long Beach Unified,Hudson K-8,ATSI
Los Angeles,Long Beach Unified,Muir K-8,ATSI
Los Angeles,Long Beach Unified,Newcomb Academy,General Assistance
Los Angeles,Long Beach Unified,Jessie Nelson Academy,General Assistance
Los Angeles,Long Beach Unified,Tincher Preparatory,General Assistance
Los Angeles,Long Beach Unified,Hamilton Middle,ATSI
Los Angeles,Long Beach Unified,Hoover Middle,General Assistance
Los Angeles,Long Beach Unified,Jefferson Leadership Academies,General Assistance
Los Angeles,Long Beach Unified,Marshall Academy of the Arts,General Assistance
Los Angeles,Long Beach Unified,Rogers Middle,General Assistance
Los Angeles,Long Beach Unified,Stephens Middle,General Assistance
Los Angeles,Long Beach Unified,Bancroft Middle,General Assistance
Los Angeles,Long Beach Unified,Hughes Middle,General Assistance
Los Angeles,Long Beach Unified,Stanford Middle,General Assistance
Los Angeles,Long Beach Unified,Washington Middle,ATSI
Los Angeles,Long Beach Unified,Robinson Academy,General Assistance
Los Angeles,Long Beach Unified,Powell Academy for Success,General Assistance
Los Angeles,Los Angeles County Office of Education,Jardin de la Infancia,General Assistance
Los Angeles,Los Angeles County Office of Education,Aspire Antonio Maria Lugo Academy,General Assistance
Los Angeles,Los Angeles County Office of Education,Aspire Ollin University Preparatory Academy,General Assistance
Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 3,General Assistance
Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 2,General Assistance
Los Angeles,Los Angeles County Office of Education,Environmental Charter Middle,General Assistance
Los Angeles,Los Angeles County Office of Education,"Nidorf, Barry J.",CSI Grad
Los Angeles,Los Angeles County Office of Education,Central Juvenile Hall,CSI Grad
Los Angeles,Los Angeles County Office of Education,"Kirby, Dorothy Camp",General Assistance
Los Angeles,Los Angeles County Office of Education,Afflerbaugh-Paige Camp,CSI Grad
Los Angeles,Los Angeles County Office of Education,"Rockey, Glenn Camp",General Assistance
Los Angeles,Los Angeles County Office of Education,"Scott, Joseph Camp",General Assistance
